,kappa,theta_a,theta_b,sigma,error_kappa,error_theta_a,error_theta_b,error_sigma
789,5.0,0.0001,0.05,0.5,11.91243,99.94756,5.82958,2.35819
790,5.0,0.0001,0.1,0.5,5.20057,100.00000,7.37963,2.80349
791,5.0,0.0001,0.5,0.5,12.69127,99.99617,0.27517,3.12966
792,5.0,0.0005,0.005,0.5,4.90410,99.98358,70.29422,3.62061
793,5.0,0.0005,0.01,0.5,7.28184,99.99411,231.68860,3.44238
794,5.0,0.0005,0.02,0.5,3.05771,99.99502,204.83842,1.39065
795,5.0,0.0005,0.05,0.5,8.56604,99.98593,37.85622,1.01941
796,5.0,0.0005,0.1,0.5,15.14919,100.00000,27.28714,3.74389
797,5.0,0.0005,0.5,0.5,6.57935,99.98675,3.23228,1.69429
798,5.0,0.001,0.005,0.5,0.72793,99.98813,1188.98523,3.36132
799,5.0,0.001,0.01,0.5,1.61583,99.98413,194.02240,2.88858
800,5.0,0.001,0.02,0.5,7.48642,99.98941,55.62868,3.66648
801,5.0,0.001,0.05,0.5,4.71948,99.97668,6.88307,1.64843
802,5.0,0.001,0.1,0.5,1.62620,99.96781,5.03051,2.55445
803,5.0,0.001,0.5,0.5,2.05752,99.97924,6.88527,3.00521
804,5.0,0.01,0.005,0.5,12.14410,99.98082,3123.40101,2.58007
805,5.0,0.01,0.01,0.5,54.44059,99.97707,612.51867,1.30304
806,5.0,0.01,0.02,0.5,16.34546,99.98162,996.33951,2.05862
807,5.0,0.01,0.05,0.5,25.14288,99.98085,369.10979,2.33430
808,5.0,0.01,0.1,0.5,12.40789,99.98231,202.04221,3.37330
809,5.0,0.01,0.5,0.5,7.92109,99.98199,38.10157,1.75326
810,5.0,0.1,0.005,0.5,98.88081,99.98503,96724.47670,0.15339
811,5.0,0.1,0.01,0.5,98.85513,99.98519,48274.73652,0.78931
812,5.0,0.1,0.02,0.5,98.84053,99.98544,24185.03791,0.80814
813,5.0,0.1,0.05,0.5,98.83922,99.98522,9644.54320,1.62073
814,5.0,0.1,0.1,0.5,98.82311,99.98508,4834.51778,1.89376
815,5.0,0.1,0.5,0.5,98.74714,99.98651,968.02279,0.17396
816,5.0,1e-06,0.005,2.0,2.95379,99.99994,100.00000,2.76565
817,5.0,1e-06,0.01,2.0,2.46438,100.00000,79.60343,1.95227
818,5.0,1e-06,0.02,2.0,7.30801,100.00000,100.00000,3.25821
819,5.0,1e-06,0.05,2.0,10.61948,77.37903,93.53953,3.63657
820,5.0,1e-06,0.1,2.0,3.97665,100.00000,35.63409,2.25649
821,5.0,1e-06,0.5,2.0,5.98185,90.54769,10.98395,2.89850
822,5.0,1e-05,0.005,2.0,6.34464,100.00000,100.00000,2.28341
823,5.0,1e-05,0.01,2.0,5.67896,99.17614,175.22314,1.86156
824,5.0,1e-05,0.02,2.0,3.94501,100.00000,30.24625,1.05193
825,5.0,1e-05,0.05,2.0,3.42651,96.48895,22.26275,3.03899
826,5.0,1e-05,0.1,2.0,12.44487,99.72126,49.55045,2.08254
827,5.0,1e-05,0.5,2.0,6.79526,100.00000,8.76402,2.48714
828,5.0,5e-05,0.005,2.0,14.22214,100.00000,185.98960,4.78621
829,5.0,5e-05,0.01,2.0,14.90742,99.80839,26.35188,2.93866
830,5.0,5e-05,0.02,2.0,6.92927,99.92019,39.35311,3.34862
831,5.0,5e-05,0.05,2.0,7.29589,99.91319,100.00000,1.84133
832,5.0,5e-05,0.1,2.0,4.17422,99.40969,78.64132,3.40232
833,5.0,5e-05,0.5,2.0,0.99283,99.78443,8.32894,3.52578
834,5.0,0.0001,0.005,2.0,9.46368,99.94917,100.00000,2.25385
835,5.0,0.0001,0.01,2.0,7.37743,99.95480,100.00000,2.27888
836,5.0,0.0001,0.02,2.0,7.71423,100.00000,39.54453,1.92379
837,5.0,0.0001,0.05,2.0,6.41534,100.00000,56.60424,3.10592
838,5.0,0.0001,0.1,2.0,0.22709,99.97565,51.08699,2.25834
839,5.0,0.0001,0.5,2.0,17.45049,100.00000,7.33810,2.91248
840,5.0,0.0005,0.005,2.0,1.64903,99.98969,2003.56354,3.19215
841,5.0,0.0005,0.01,2.0,6.43873,100.00000,469.84922,2.70524
842,5.0,0.0005,0.02,2.0,4.73731,99.94362,99.99999,3.18410
843,5.0,0.0005,0.05,2.0,12.03801,99.86933,96.98836,2.99146
844,5.0,0.0005,0.1,2.0,6.66330,100.00000,41.13173,1.62276
845,5.0,0.0005,0.5,2.0,2.02560,99.92402,11.05996,1.58448
846,5.0,0.001,0.005,2.0,3.42641,99.99578,1055.17876,3.40198
847,5.0,0.001,0.01,2.0,8.34082,99.96486,99.99318,3.31180
848,5.0,0.001,0.02,2.0,12.91109,100.00000,118.76175,2.25528
849,5.0,0.001,0.05,2.0,0.07396,100.00000,47.66363,2.65169
850,5.0,0.001,0.1,2.0,7.43549,99.94139,2.13012,3.34932
851,5.0,0.001,0.5,2.0,8.47675,99.96339,0.53713,3.03207
852,5.0,0.01,0.005,2.0,9.64908,99.97862,3073.26309,2.52444
853,5.0,0.01,0.01,2.0,5.47861,99.98343,2486.33457,2.50702
854,5.0,0.01,0.02,2.0,0.27483,99.98420,1369.69500,1.82418
855,5.0,0.01,0.05,2.0,3.55042,99.98306,414.02805,2.35835
856,5.0,0.01,0.1,2.0,6.72488,99.98115,234.80292,3.26563
857,5.0,0.01,0.5,2.0,0.73570,99.97950,30.85997,2.71020
858,5.0,0.1,0.005,2.0,54.11250,99.98078,36890.30768,2.36882
859,5.0,0.1,0.01,2.0,56.52026,99.98176,19944.99196,2.23278
860,5.0,0.1,0.02,2.0,54.59345,99.98139,9896.54412,2.48804
861,5.0,0.1,0.05,2.0,58.13761,99.98121,3785.75785,2.36362
862,5.0,0.1,0.1,2.0,58.47713,99.98049,1808.67454,1.08730
863,5.0,0.1,0.5,2.0,54.31465,99.98092,361.48759,0.43607
864,10.0,1e-06,0.005,0.5,3.05118,96.19081,45.67941,4.88387
865,10.0,1e-06,0.01,0.5,0.10429,98.56115,12.79326,5.14569
866,10.0,1e-06,0.02,0.5,5.83586,100.00000,5.20528,5.02576
867,10.0,1e-06,0.05,0.5,14.69816,99.44870,4.56723,5.91898
868,10.0,1e-06,0.1,0.5,8.77624,100.00000,0.19766,6.70586
869,10.0,1e-06,0.5,0.5,3.82021,99.21200,0.40605,4.43005
870,10.0,1e-05,0.005,0.5,0.21568,99.99440,53.60060,5.50903
871,10.0,1e-05,0.01,0.5,10.33265,99.40083,27.29763,6.01797
872,10.0,1e-05,0.02,0.5,6.36319,99.79130,47.16140,5.44133
873,10.0,1e-05,0.05,0.5,6.79185,98.97118,47.86116,5.19739
874,10.0,1e-05,0.1,0.5,2.40218,100.00000,2.51939,4.79158
875,10.0,1e-05,0.5,0.5,14.24905,100.00000,0.44381,6.32197
876,10.0,5e-05,0.005,0.5,6.93918,99.97443,42.87611,5.02065
877,10.0,5e-05,0.01,0.5,7.52016,99.99491,79.18455,3.62525
878,10.0,5e-05,0.02,0.5,13.16014,99.87147,56.44096,6.31128
879,10.0,5e-05,0.05,0.5,6.40668,99.90064,3.81438,4.27738
880,10.0,5e-05,0.1,0.5,0.17835,100.00000,1.89378,4.51762
881,10.0,5e-05,0.5,0.5,2.78191,100.00000,2.81115,5.63554
882,10.0,0.0001,0.005,0.5,1.40801,99.98227,25.07232,5.21553
883,10.0,0.0001,0.01,0.5,11.50229,99.99402,94.45522,4.18477
884,10.0,0.0001,0.02,0.5,20.57665,100.00000,34.46995,7.05845
885,10.0,0.0001,0.05,0.5,7.40138,99.98106,9.65494,6.04713
886,10.0,0.0001,0.1,0.5,6.68147,100.00000,2.52912,3.79732
887,10.0,0.0001,0.5,0.5,1.36174,99.96859,0.88805,5.13149
888,10.0,0.0005,0.005,0.5,15.87904,99.97314,199.68743,6.38099
889,10.0,0.0005,0.01,0.5,13.13384,99.98883,49.93436,7.29514
890,10.0,0.0005,0.02,0.5,3.42585,99.97340,36.42757,4.74821
891,10.0,0.0005,0.05,0.5,7.74081,99.99987,44.13272,6.61755
892,10.0,0.0005,0.1,0.5,10.04650,99.97621,1.53562,4.28453
893,10.0,0.0005,0.5,0.5,1.84189,99.98988,3.44473,5.15955
894,10.0,0.001,0.005,0.5,7.08196,99.97758,116.36514,6.07991
895,10.0,0.001,0.01,0.5,14.30112,99.97975,127.01641,4.94732
896,10.0,0.001,0.02,0.5,0.21744,99.97850,58.42184,5.60468
897,10.0,0.001,0.05,0.5,11.10257,99.98244,56.05733,4.25058
898,10.0,0.001,0.1,0.5,5.45959,99.98317,24.49034,4.25891
899,10.0,0.001,0.5,0.5,2.09553,99.98244,3.08395,6.10988
900,10.0,0.01,0.005,0.5,71.69582,99.97646,972.23033,2.98203
901,10.0,0.01,0.01,0.5,34.59437,99.98136,1935.65466,5.06257
902,10.0,0.01,0.02,0.5,71.86897,99.97612,157.88278,3.16483
903,10.0,0.01,0.05,0.5,21.64115,99.98084,361.17689,3.47636
904,10.0,0.01,0.1,0.5,30.68422,99.98078,182.93225,4.16435
905,10.0,0.01,0.5,0.5,24.55986,99.98068,35.96353,4.89085
906,10.0,0.1,0.005,0.5,99.41929,99.98526,96719.41590,1.62225
907,10.0,0.1,0.01,0.5,97.48923,99.98128,22716.28818,2.30420
908,10.0,0.1,0.02,0.5,99.40328,99.98598,24211.34656,2.90411
909,10.0,0.1,0.05,0.5,99.40319,99.98563,9686.80910,3.05798
910,10.0,0.1,0.1,0.5,99.40059,99.98567,4835.53632,2.78035
911,10.0,0.1,0.5,0.5,97.25750,99.98134,454.83674,3.15075
912,10.0,1e-06,0.005,2.0,0.61892,98.81073,397.48748,3.99430
913,10.0,1e-06,0.01,2.0,3.62401,100.00000,458.56148,4.13935
914,10.0,1e-06,0.02,2.0,0.21470,94.57637,39.97862,4.79905
915,10.0,1e-06,0.05,2.0,1.30341,100.00000,98.94774,5.39457
916,10.0,1e-06,0.1,2.0,7.36373,100.00000,2.28171,5.28784
917,10.0,1e-06,0.5,2.0,3.78768,100.00000,1.63758,5.20581
918,10.0,1e-05,0.005,2.0,11.60115,99.71978,100.00000,5.05704
919,10.0,1e-05,0.01,2.0,5.57998,100.00000,11.10121,5.34168
920,10.0,1e-05,0.02,2.0,0.96474,98.39315,99.99993,4.29276
921,10.0,1e-05,0.05,2.0,8.80586,98.63099,7.45158,6.06983
922,10.0,1e-05,0.1,2.0,7.76918,98.95582,8.88040,4.54222
923,10.0,1e-05,0.5,2.0,1.18608,98.73710,1.24018,5.49853
924,10.0,5e-05,0.005,2.0,12.79007,100.00000,328.25621,6.02806
925,10.0,5e-05,0.01,2.0,1.21126,99.96024,100.00000,6.04634
926,10.0,5e-05,0.02,2.0,1.52223,99.93765,100.00000,5.65616
927,10.0,5e-05,0.05,2.0,17.77472,99.85638,10.96214,6.60887
928,10.0,5e-05,0.1,2.0,0.77367,100.00000,0.71706,5.36726
929,10.0,5e-05,0.5,2.0,7.55300,99.80942,7.92528,6.00483
930,10.0,0.0001,0.005,2.0,12.54303,99.93808,141.66986,5.31628
931,10.0,0.0001,0.01,2.0,2.82233,100.00000,246.90932,4.95618
932,10.0,0.0001,0.02,2.0,12.65404,99.88923,62.98721,6.55441
933,10.0,0.0001,0.05,2.0,9.44105,99.96760,35.25831,4.62717
934,10.0,0.0001,0.1,2.0,14.63815,99.96654,7.63372,4.66063
935,10.0,0.0001,0.5,2.0,0.07433,99.96002,1.17454,4.15468
936,10.0,0.0005,0.005,2.0,2.47535,99.99668,608.37198,5.71131
937,10.0,0.0005,0.01,2.0,11.69489,100.00000,387.70537,4.66359
938,10.0,0.0005,0.02,2.0,1.13693,99.95915,99.99990,5.29408
939,10.0,0.0005,0.05,2.0,5.76635,99.99401,6.13112,6.43824
940,10.0,0.0005,0.1,2.0,16.90664,99.93199,71.51675,5.48518
941,10.0,0.0005,0.5,2.0,6.13463,99.97026,5.57017,4.12821
942,10.0,0.001,0.005,2.0,13.50198,99.98673,274.05438,6.14821
943,10.0,0.001,0.01,2.0,8.61496,99.99785,253.58458,7.43876
944,10.0,0.001,0.02,2.0,2.87950,99.96448,100.00000,4.70287
945,10.0,0.001,0.05,2.0,3.24072,99.96608,26.43809,5.51575
946,10.0,0.001,0.1,2.0,9.24845,99.98859,26.25835,5.42139
947,10.0,0.001,0.5,2.0,1.43735,100.00000,12.34461,4.17792
948,10.0,0.01,0.005,2.0,11.87957,99.98248,3663.18252,6.14357
949,10.0,0.01,0.01,2.0,7.52806,99.98087,1763.23198,5.26734
950,10.0,0.01,0.02,2.0,4.65346,99.98119,890.29631,7.00807
951,10.0,0.01,0.05,2.0,0.51155,99.98219,402.25699,5.66483
952,10.0,0.01,0.1,2.0,0.92796,99.98152,178.84538,5.84790
953,10.0,0.01,0.5,2.0,3.47725,99.98325,45.08122,5.65841
954,10.0,0.1,0.005,2.0,70.82462,99.98121,38003.52380,3.83078
955,10.0,0.1,0.01,2.0,69.16267,99.98120,18977.96414,3.42089
956,10.0,0.1,0.02,2.0,72.21881,99.98117,9590.83758,3.73214
957,10.0,0.1,0.05,2.0,70.48961,99.98143,3888.27281,3.13870
958,10.0,0.1,0.1,2.0,70.66162,99.98106,1858.28647,3.52743
959,10.0,0.1,0.5,2.0,71.42523,99.98123,374.53427,1.88563
960,20.0,1e-06,0.005,0.5,10.71633,100.00000,5.41336,10.82272
961,20.0,1e-06,0.01,0.5,15.59940,97.61948,4.07146,12.06739
962,20.0,1e-06,0.02,0.5,9.08475,99.99999,4.90774,11.23203
963,20.0,1e-06,0.05,0.5,12.17391,98.81148,5.02284,11.70734
964,20.0,1e-06,0.1,0.5,7.26023,100.00000,4.41292,10.87266
965,20.0,1e-06,0.5,0.5,15.83608,98.99593,0.28039,12.45043
966,20.0,1e-05,0.005,0.5,7.41754,99.72223,72.53448,10.77014
967,20.0,1e-05,0.01,0.5,9.04749,99.70842,74.09539,11.09442
968,20.0,1e-05,0.02,0.5,14.96368,99.58501,61.22771,11.89072
969,20.0,1e-05,0.05,0.5,14.64245,99.98863,1.62160,10.88794
970,20.0,1e-05,0.1,0.5,6.78790,99.87076,2.65285,10.00341
971,20.0,1e-05,0.5,0.5,11.00883,99.76021,0.59290,10.64931
972,20.0,5e-05,0.005,0.5,14.75950,99.98880,98.48789,12.31553
973,20.0,5e-05,0.01,0.5,9.39415,100.00000,6.29434,10.16005
974,20.0,5e-05,0.02,0.5,12.84956,99.92752,9.85367,10.84128
975,20.0,5e-05,0.05,0.5,16.42755,99.95024,4.37638,12.56372
976,20.0,5e-05,0.1,0.5,12.64488,99.96850,2.00866,10.13227
977,20.0,5e-05,0.5,0.5,10.70090,100.00000,0.62924,11.35387
978,20.0,0.0001,0.005,0.5,7.15666,99.98127,34.43558,10.74235
979,20.0,0.0001,0.01,0.5,19.49666,99.96288,5.41529,12.52765
980,20.0,0.0001,0.02,0.5,8.77637,100.00000,27.25882,10.71558
981,20.0,0.0001,0.05,0.5,5.82236,99.96830,3.31540,10.67165
982,20.0,0.0001,0.1,0.5,9.16703,99.96893,0.50510,10.63570
983,20.0,0.0001,0.5,0.5,4.23712,99.97851,0.16723,9.75832
984,20.0,0.0005,0.005,0.5,10.98991,99.98652,249.97269,10.33586
985,20.0,0.0005,0.01,0.5,14.45559,99.96672,96.57787,12.87487
986,20.0,0.0005,0.02,0.5,15.31728,99.98423,52.87035,10.71982
987,20.0,0.0005,0.05,0.5,16.16736,99.97902,17.87911,10.04433
988,20.0,0.0005,0.1,0.5,15.85167,99.98321,12.31469,11.75317
989,20.0,0.0005,0.5,0.5,13.54893,99.97857,1.67966,12.56070
990,20.0,0.001,0.005,0.5,8.28684,99.97914,355.96385,10.95714
991,20.0,0.001,0.01,0.5,6.51361,99.97088,98.91930,9.72110
992,20.0,0.001,0.02,0.5,11.70966,99.98126,111.40489,11.54773
993,20.0,0.001,0.05,0.5,19.17866,99.95790,97.29718,9.76344
994,20.0,0.001,0.1,0.5,4.59682,99.98338,20.65505,10.86698
995,20.0,0.001,0.5,0.5,11.16848,99.98215,3.98032,10.45357
996,20.0,0.01,0.005,0.5,39.62437,99.98086,3647.21323,8.07677
997,20.0,0.01,0.01,0.5,37.56301,99.98137,1909.86802,7.88927
998,20.0,0.01,0.02,0.5,41.04708,99.98106,933.51888,8.06953
999,20.0,0.01,0.05,0.5,38.54094,99.98135,381.09055,8.30857
1000,20.0,0.01,0.1,0.5,42.39947,99.98115,187.17734,7.66204
1001,20.0,0.01,0.5,0.5,40.14604,99.98115,36.73934,10.06053
1002,20.0,0.1,0.005,0.5,99.69752,99.98570,96992.12357,5.48404
1003,20.0,0.1,0.01,0.5,99.69531,99.98566,48421.37516,5.82398
1004,20.0,0.1,0.02,0.5,99.69560,99.98579,24218.54985,5.53102
1005,20.0,0.1,0.05,0.5,99.69539,99.98558,9684.88415,5.94965
1006,20.0,0.1,0.1,0.5,99.68930,99.98569,4847.00268,6.75222
1007,20.0,0.1,0.5,0.5,99.67155,99.98609,969.63538,4.99549
1008,20.0,1e-06,0.005,2.0,12.15760,99.99999,100.00000,10.83526
1009,20.0,1e-06,0.01,2.0,9.65141,92.69047,99.99999,10.76871
1010,20.0,1e-06,0.02,2.0,19.24593,100.00000,19.70309,12.37344
1011,20.0,1e-06,0.05,2.0,9.82692,92.99263,50.30857,10.47099
1012,20.0,1e-06,0.1,2.0,9.36885,95.96507,3.27922,10.98507
1013,20.0,1e-06,0.5,2.0,12.65938,100.00000,2.88017,12.57505
1014,20.0,1e-05,0.005,2.0,11.38878,100.00000,232.68521,12.53829
1015,20.0,1e-05,0.01,2.0,12.38566,99.84250,58.86494,11.76029
1016,20.0,1e-05,0.02,2.0,6.13333,100.00000,43.70648,11.37572
1017,20.0,1e-05,0.05,2.0,13.16772,100.00000,28.99746,12.31388
1018,20.0,1e-05,0.1,2.0,15.34650,100.00000,17.98999,12.45663
1019,20.0,1e-05,0.5,2.0,9.21041,100.00000,0.04772,11.77500
1020,20.0,5e-05,0.005,2.0,9.11688,100.00000,33.29930,10.55119
1021,20.0,5e-05,0.01,2.0,14.66370,99.99970,11.71554,11.05662
1022,20.0,5e-05,0.02,2.0,8.33358,99.94712,45.49234,11.43369
1023,20.0,5e-05,0.05,2.0,12.87333,99.74429,46.51005,12.15341
1024,20.0,5e-05,0.1,2.0,9.14914,100.00000,4.81846,12.00190
1025,20.0,5e-05,0.5,2.0,11.14219,99.75320,1.28698,12.39008
1026,20.0,0.0001,0.005,2.0,8.44643,100.00000,100.00000,9.95337
1027,20.0,0.0001,0.01,2.0,10.57967,100.00000,75.19132,11.39268
1028,20.0,0.0001,0.02,2.0,10.58171,100.00000,75.36622,12.89136
1029,20.0,0.0001,0.05,2.0,10.80688,99.97787,24.23283,11.31134
1030,20.0,0.0001,0.1,2.0,12.68804,100.00000,7.10358,11.64226
1031,20.0,0.0001,0.5,2.0,8.65329,99.87015,4.82711,10.73645
1032,20.0,0.0005,0.005,2.0,15.53909,99.99613,382.25570,12.91049
1033,20.0,0.0005,0.01,2.0,14.62370,99.99242,44.31680,12.97555
1034,20.0,0.0005,0.02,2.0,13.74973,99.96930,24.64576,10.91564
1035,20.0,0.0005,0.05,2.0,11.30654,99.97664,16.94510,9.54448
1036,20.0,0.0005,0.1,2.0,12.53460,99.96310,8.69564,10.67036
1037,20.0,0.0005,0.5,2.0,11.82609,99.97579,1.21601,11.72984
1038,20.0,0.001,0.005,2.0,18.17588,99.98848,365.02391,12.73104
1039,20.0,0.001,0.01,2.0,11.39995,99.98733,330.77298,10.05244
1040,20.0,0.001,0.02,2.0,10.74190,99.97491,111.09024,10.10741
1041,20.0,0.001,0.05,2.0,16.87286,99.98481,41.51515,11.27662
1042,20.0,0.001,0.1,2.0,9.32493,99.99278,27.34401,10.67289
1043,20.0,0.001,0.5,2.0,7.86036,99.98190,6.25486,12.44085
1044,20.0,0.01,0.005,2.0,7.75845,99.98079,3269.16044,10.63817
1045,20.0,0.01,0.01,2.0,4.98583,99.98208,1923.72968,11.33134
1046,20.0,0.01,0.02,2.0,6.78505,99.98164,937.78049,10.67876
1047,20.0,0.01,0.05,2.0,11.02876,99.98207,411.84196,12.22931
1048,20.0,0.01,0.1,2.0,10.45468,99.98039,195.66603,12.29081
1049,20.0,0.01,0.5,2.0,9.53806,99.98085,36.84656,9.84566
1050,20.0,0.1,0.005,2.0,81.85565,99.98126,38307.55151,5.17145
1051,20.0,0.1,0.01,2.0,81.94471,99.98115,18693.04023,6.04971
1052,20.0,0.1,0.02,2.0,81.60929,99.98126,9424.35588,5.33530
1053,20.0,0.1,0.05,2.0,82.09940,99.98133,3789.77186,6.90079
1054,20.0,0.1,0.1,2.0,82.78283,99.98127,1865.84857,5.52301
1055,20.0,0.1,0.5,2.0,82.07193,99.98126,382.04713,6.81083
